Date,TSLA
2019-07-31,48.322
2019-08-31,45.12200000000001
2019-09-30,48.17400000000001
2019-10-31,62.98400000000001
2019-11-30,65.988
2019-12-31,83.666
2020-01-31,130.114
2020-02-29,133.598
2020-03-31,104.80000000000001
2020-04-30,156.376
2020-05-31,167.0
2020-06-30,215.962
2020-07-31,286.152
2020-08-31,498.32
2020-09-30,429.01
2020-10-31,388.04
2020-11-30,567.6
2020-12-31,705.67
2021-01-31,793.53
2021-02-28,675.5
2021-03-31,667.93
2021-04-30,709.44
2021-05-31,625.22
2021-06-30,679.7
2021-07-31,687.2
2021-08-31,735.72
